Date,Open,High,Low,Close,Volume,Adj Close
2014-02-10,14450.00,14650.00,14100.00,14200.00,97000,14200.00
2014-02-07,14150.00,14600.00,14000.00,14400.00,189100,14400.00
2014-02-06,14150.00,14250.00,13950.00,13950.00,117400,13950.00
2014-02-05,14550.00,14550.00,14000.00,14150.00,199100,14150.00
2014-02-04,14100.00,14600.00,13800.00,14450.00,223200,14450.00
2014-02-03,14300.00,14350.00,14050.00,14150.00,98300,14150.00
2014-01-31,14150.00,14150.00,14150.00,14150.00,000,14150.00
2014-01-30,14150.00,14150.00,14150.00,14150.00,000,14150.00
2014-01-29,13900.00,14650.00,13750.00,14150.00,452000,14150.00
2014-01-28,13100.00,13800.00,12800.00,13750.00,253700,13750.00
2014-01-27,13300.00,13500.00,13050.00,13150.00,273100,13150.00
2014-01-24,13200.00,13650.00,13000.00,13600.00,178400,13600.00
2014-01-23,13500.00,13500.00,13200.00,13400.00,113600,13400.00
2014-01-22,13450.00,13750.00,13250.00,13500.00,154900,13500.00
2014-01-21,12700.00,13450.00,12650.00,13450.00,264200,13450.00
2014-01-20,13150.00,13250.00,12550.00,12700.00,334000,12700.00
2014-01-17,13600.00,13650.00,13200.00,13300.00,118400,13300.00
2014-01-16,13650.00,13650.00,13100.00,13550.00,142900,13550.00
2014-01-15,13600.00,13700.00,13150.00,13400.00,144600,13400.00
2014-01-14,13450.00,13900.00,13350.00,13700.00,222500,13700.00
2014-01-13,13300.00,13550.00,13250.00,13500.00,93100,13500.00
2014-01-10,13650.00,13750.00,13250.00,13450.00,125500,13450.00
2014-01-09,13150.00,13800.00,13100.00,13650.00,358800,13650.00
2014-01-08,13050.00,13250.00,12900.00,13200.00,144200,13200.00
2014-01-07,13350.00,13500.00,13050.00,13150.00,135300,13150.00
2014-01-06,13000.00,13450.00,13000.00,13350.00,235700,13350.00
2014-01-03,12650.00,13100.00,12650.00,13000.00,233300,13000.00
2014-01-02,12450.00,12850.00,12350.00,12600.00,153500,12600.00
2014-01-01,12350.00,12350.00,12350.00,12350.00,000,12350.00
2013-12-31,12350.00,12350.00,12350.00,12350.00,000,12350.00
2013-12-30,12750.00,12750.00,12250.00,12350.00,223400,12350.00
2013-12-27,12500.00,12900.00,12400.00,12750.00,220100,12750.00
2013-12-26,12900.00,12900.00,12550.00,12550.00,90600,12550.00
2013-12-25,12800.00,12800.00,12800.00,12800.00,000,12800.00
2013-12-24,12900.00,12900.00,12650.00,12800.00,126700,12800.00
2013-12-23,12800.00,12850.00,12550.00,12750.00,131100,12750.00
2013-12-20,12400.00,12950.00,12300.00,12800.00,285100,12800.00
2013-12-19,12500.00,12550.00,12250.00,12400.00,58800,12400.00
2013-12-18,12500.00,12550.00,12350.00,12350.00,79700,12350.00
2013-12-17,12450.00,12700.00,12400.00,12600.00,135000,12600.00
2013-12-16,12500.00,12650.00,12250.00,12350.00,178300,12350.00
2013-12-13,11850.00,12450.00,11800.00,12400.00,177900,12400.00
2013-12-12,11950.00,12200.00,11850.00,11900.00,136800,11900.00
2013-12-11,12150.00,12300.00,12000.00,12100.00,164100,12100.00
2013-12-10,12350.00,12350.00,11950.00,12050.00,339300,12050.00
2013-12-09,12600.00,12700.00,12150.00,12550.00,247800,12550.00
2013-12-06,12100.00,12750.00,12100.00,12400.00,433300,12400.00
2013-12-05,12100.00,12300.00,11900.00,12300.00,368900,12300.00
2013-12-04,11450.00,12100.00,11400.00,12000.00,552200,12000.00
2013-12-03,11300.00,11400.00,11100.00,11350.00,192400,11350.00
2013-12-02,11650.00,11650.00,11150.00,11300.00,270700,11300.00
2013-11-29,11850.00,11900.00,11550.00,11650.00,136700,11650.00
2013-11-28,11650.00,11950.00,11650.00,11800.00,204400,11800.00
2013-11-27,11950.00,11950.00,11650.00,11750.00,216200,11750.00
2013-11-26,11550.00,11950.00,11400.00,11850.00,382300,11850.00
2013-11-25,11550.00,11600.00,11250.00,11550.00,205100,11550.00
2013-11-22,11450.00,11650.00,11350.00,11500.00,261400,11500.00
2013-11-21,11150.00,11400.00,10900.00,11350.00,345000,11350.00
2013-11-20,10800.00,11150.00,10800.00,11050.00,208700,11050.00
2013-11-19,10750.00,10950.00,10550.00,10900.00,251000,10900.00
2013-11-18,11150.00,11350.00,10750.00,10850.00,365500,10850.00
2013-11-15,11050.00,11200.00,10850.00,11000.00,211500,11000.00
2013-11-14,10650.00,11150.00,10600.00,11050.00,360000,11050.00
2013-11-13,10700.00,10700.00,10400.00,10550.00,111600,10550.00
